player,position,points,start_price,end_price,next_price,price_boost
Firmino,FWD,141,9.5,9.1,8.5,-1
Mané,MID,176,12,11.8,11,-1
Alisson,GK,140,6,6,6,0
Fabinho,MID,71,5.5,5.4,5,-0.5
Salah,MID,231,12,12.9,13,1
Robertson,DEF,161,7,7.3,7,0
Alexander-Arnold,DEF,160,7.5,7.8,7.5,0
Gomez,DEF,10,5.5,5.2,5,-0.5
Keita,MID,15,5.5,5.2,5,-0.5
Jones,MID,50,4.5,4.4,5,0.5
Jota,MID,86,6.5,6.9,7,0.5
Thiago,MID,55,6,5.5,5.5,-0.5
Phillips,DEF,68,4,4.2,4.5,0.5
Rhys Williams,DEF,28,4,4,4.5,0.5
Kabak,DEF,26,5,5,5,0
Fernandinho,DEF,65,5.5,5.4,5.5,0
Agüero,FWD,38,10.5,10.3,9,-1.5
Walker,DEF,91,6,6.1,6,0
Gündogan,MID,157,5.5,5.5,7,1.5
De Bruyne,MID,141,11.5,11.8,11,-0.5
Stones,DEF,128,5,5.1,6,1
Mendy,DEF,63,6,5.9,6,0
Mahrez,MID,145,8.5,8.1,8.5,0
Sterling,MID,154,11.5,10.9,10,-1.5
Cancelo,DEF,138,5.5,5.8,6,0.5
Ederson,GK,160,6,6.1,6,0
Aké,DEF,29,5.5,5.4,5,-0.5
Laporte,DEF,58,6,6,5.5,-0.5
Bernardo Silva,MID,94,7.5,7.4,7,-0.5
Jesus,FWD,115,9.5,9.1,8.5,-1
Zinchenko,DEF,69,5.5,5.5,5.5,0
Foden,MID,135,6.5,6.1,7,0.5
Rodrigo,MID,91,5.5,5.3,5.5,0
Torres,MID,95,7,7,7,0
Dias,DEF,142,5.5,5.9,5.5,0
Mata,MID,32,6,5.8,5.5,-0.5
de Gea,GK,91,5.5,5.3,5,-0.5
Matic,MID,36,5,4.7,5,0
Pogba,MID,92,8,7.6,7,-1
Maguire,DEF,124,5.5,5.5,5.5,0
Fred,MID,69,5.5,5.3,5,-0.5
Shaw,DEF,124,5,5.5,5.5,0.5
Fernandes,MID,244,10.5,11.3,11.5,1
Martial,FWD,75,9,8.6,8,-1
Henderson,GK,44,5.5,5.2,5,-0.5
Rashford,MID,174,9.5,9.6,9.5,0
Lindelöf,DEF,102,5,4.8,5,0
McTominay,MID,91,5,4.9,5.5,0.5
Bailly,DEF,31,5,4.8,4.5,-0.5
James,MID,43,6.5,6.2,6,-0.5
Wan-Bissaka,DEF,144,5.5,5.8,6,0.5
Greenwood,MID,106,7.5,7.3,7.5,0
van de Beek,MID,32,7,6.6,6,-1
Telles,DEF,25,5.5,5.3,5,-0.5
Cavani,FWD,99,8,8,8,0
Willock,MID,79,5,4.9,5.5,0.5
Shelvey,MID,74,5.5,5.3,5,-0.5
Ritchie,MID,52,5,4.9,5,0
Fernández,DEF,53,5,4.7,4.5,-0.5
Clark,DEF,46,4.5,4.5,4.5,0
Darlow,GK,80,5,4.9,5,0
Dubravka,GK,48,5,4.8,5,0
Lascelles,DEF,44,4.5,4.2,4.5,0
Gayle,FWD,31,6,5.9,5.5,-0.5
Dummett,DEF,40,4.5,4.4,4.5,0
Manquillo,DEF,28,4.5,4.2,4.5,0
Krafth,DEF,45,4.5,4.2,4.5,0
Schär,DEF,30,5,4.8,5,0
Hayden,MID,40,5,4.6,4.5,-0.5
Saint-Maximin,MID,85,5.5,5.2,5.5,0
Almirón,MID,97,6,5.6,6,0
Joelinton,FWD,74,6,5.7,6,0
Sean Longstaff,MID,41,5,4.6,5,0
Hendrick,MID,52,5,4.5,5,0
Murphy,MID,69,5,4.9,5.5,0.5
Wilson,FWD,134,6.5,6.5,7.5,1
Fraser,MID,39,6,5.6,5.5,-0.5
Lewis,DEF,44,4.5,4,4.5,0
Brewster,FWD,34,4.5,4.2,4.5,0
Sharp,FWD,39,6,5.5,5.5,-0.5
McGoldrick,FWD,100,5.5,5.2,6,0.5
Basham,DEF,51,5,4.6,4.5,-0.5
Fleck,MID,70,6,5.6,5.5,-0.5
Stevens,DEF,56,5.5,5,4.5,-1
Norwood,MID,54,5,4.5,4.5,-0.5
Baldock,DEF,63,5.5,4.9,5,-0.5
Jack Robinson,DEF,32,4.5,4.2,4.5,0
Egan,DEF,57,5,4.7,4.5,-0.5
Lundstram,MID,48,5.5,4.8,5,-0.5
Osborn,MID,51,5,4.7,5,0
McBurnie,FWD,44,6,5.6,5.5,-0.5
Berge,MID,31,5,4.9,5,0
Burke,MID,46,4.5,4.1,4.5,0
Ramsdale,GK,123,5,4.6,5,0
Ampadu,DEF,44,4.5,4.3,4.5,0
Bogle,DEF,39,4.5,4.3,4.5,0
Lowe,DEF,9,4.5,4.2,4.5,0
Jagielka,DEF,5,4,3.9,4,0
Bryan,DEF,29,4,3.9,4.5,0.5
Walcott,MID,76,6,5.8,6,0
Minamino,MID,48,6.5,6,6,-0.5
Bertrand,DEF,78,5,5,5,0
McCarthy,GK,94,4.5,4.4,4.5,0
Oriol Romeu,MID,52,4.5,4.5,4.5,0
Redmond,MID,67,6.5,6.4,6,-0.5
Ings,FWD,131,8.5,8.4,8.5,0
Stephens,DEF,41,5,4.6,4.5,-0.5
Armstrong,MID,115,5.5,5.5,6,0.5
Vestergaard,DEF,86,4.5,4.7,5,0.5
Ward-Prowse,MID,156,6,5.9,6.5,0.5
Walker-Peters,DEF,93,4.5,4.7,5,0.5
Bednarek,DEF,94,4.5,4.7,4.5,0
Adams,FWD,137,6,5.7,6.5,0.5
Djenepo,MID,46,5.5,5.4,5.5,0
Salisu,DEF,14,4.5,4.3,4.5,0
Forster,GK,30,4,4,4,0
Tella,MID,36,4.5,4.3,5,0.5
Diallo,MID,31,4.5,4.5,4.5,0
Lloris,GK,149,5.5,5.6,5.5,0
Sissoko,MID,44,5,4.7,4.5,-0.5
Alderweireld,DEF,88,5.5,5.4,5.5,0
Lamela,MID,28,6,5.7,5.5,-0.5
Kane,FWD,242,10.5,11.9,12,1.5
Aurier,DEF,80,5.5,5.2,5.5,0
Son,MID,228,9,9.6,10.5,1.5
Dier,DEF,77,5,4.6,4.5,-0.5
Lucas Moura,MID,80,7,6.4,6.5,-0.5
Alli,MID,30,8,7.4,7,-1
Davies,DEF,52,5,4.5,5,0
Højbjerg,MID,107,5,4.9,5,0
Winks,MID,19,5.5,5.1,5,-0.5
Sánchez,DEF,43,5.5,5.2,5,-0.5
Bergwijn,MID,55,7.5,7,6.5,-1
Lo Celso,MID,35,7,6.9,6,-1
Ndombele,MID,99,6,5.9,6,0
Doherty,DEF,47,6,5.6,5.5,-0.5
Reguilón,DEF,89,5.5,5.5,5.5,0
Bale,MID,113,9.5,9.2,9.5,0
Rodon,DEF,27,5,4.9,5,0
Maitland-Niles,DEF,68,5,4.6,5,0
Callum Robinson,FWD,79,5.5,5.2,6,0.5
Gibbs,DEF,5,4.5,4.3,4.5,0
Robson-Kanu,FWD,30,5.5,5.2,5.5,0
Livermore,MID,25,5,4.7,4.5,-0.5
Phillips,MID,69,5.5,5.1,5.5,0
Bartley,DEF,79,4.5,4.4,5,0.5
Sawyers,MID,33,5,4.6,4.5,-0.5
Johnstone,GK,140,4.5,4.6,5,0.5
Townsend,DEF,76,4.5,4.4,4.5,0
Ajayi,DEF,51,5,4.8,4.5,-0.5
Furlong,DEF,79,4.5,4.5,5,0.5
O'Shea,DEF,41,4.5,4.2,4.5,0
Snodgrass,MID,14,6,5.6,5.5,-0.5
Diangana,MID,39,5.5,5,5,-0.5
Pereira,MID,153,6,5.4,6.5,0.5
Ivanovic,DEF,20,4.5,4.4,4.5,0
Gallagher,MID,71,5.5,5.5,5.5,0
Krovinovic,MID,17,5,4.9,5,0
Grant,FWD,41,6,5.6,5.5,-0.5
Diagne,FWD,57,6,6,6,0
Yokuslu,MID,34,4.5,4.5,4.5,0
Lingard,MID,106,6,6.6,7.5,1.5
Noble,MID,27,5,4.5,4.5,-0.5
