season,league,team,player,player_id,fantasy_position,mins,matches,raw_score,bonus_score,full_score,goals,assists,clean_sheets,yellows,reds,own_goals,key_passes,xG_buildup,team_final_scored,team_final_conceded,raw_bonus,avg_bonus_rank,raw_score_p_90,bonus_score_p_90,full_score_p_90,goals_p_90,assists_p_90,clean_sheets_p_90,yellows_p_90,reds_p_90,own_goals_p_90,key_passes_p_90,xG_buildup_p_90,team_final_scored_p_90,team_final_conceded_p_90,raw_bonus_p_90,raw_score_p_match,bonus_score_p_match,full_score_p_match,goals_p_match,assists_p_match,clean_sheets_p_match,yellows_p_match,reds_p_match,own_goals_p_match,key_passes_p_match,xG_buildup_p_match,team_final_scored_p_match,team_final_conceded_p_match,raw_bonus_p_match
2014-15,Bundesliga,Bayern,David Alaba,391,MID,1666,19,55,0,55,1,1,10,0,0,0,23,8.717,51,12,246,9.974,2.971,0,2.971,0.054,0.054,0.54,0,0,0,1.242,0.471,2.755,0.648,13.289,2.895,0,2.895,0.053,0.053,0.526,0,0,0,1.211,0.459,2.684,0.632,12.947
2014-15,Bundesliga,Bayern,Franck Ribéry,329,MID,958,15,75,8,83,5,7,7,2,0,0,29,5.384,49,4,292,8.967,7.046,0.752,7.797,0.47,0.658,0.658,0.188,0,0,2.724,0.506,4.603,0.376,27.432,5,0.533,5.533,0.333,0.467,0.467,0.133,0,0,1.933,0.359,3.267,0.267,19.467
2014-15,Bundesliga,Bayern,Gianluca Gaudino,416,MID,376,8,10,0,10,0,0,0,0,0,0,4,1.421,22,3,48,17.375,2.394,0,2.394,0,0,0,0,0,0,0.957,0.34,5.266,0.718,11.489,1.25,0,1.25,0,0,0,0,0,0,0.5,0.178,2.75,0.375,6
2014-15,Bundesliga,Bayern,Holger Badstuber,219,DEF,768,10,29,1,30,0,0,3,0,0,0,3,4.029,31,6,131,11.55,3.398,0.117,3.516,0,0,0.352,0,0,0,0.352,0.472,3.633,0.703,15.352,2.9,0.1,3,0,0,0.3,0,0,0,0.3,0.403,3.1,0.6,13.1
2014-15,Bundesliga,Bayern,Javi Martínez,225,DEF,62,1,1,0,1,0,0,0,0,0,0,0,0,0,2,3,22,1.452,0,1.452,0,0,0,0,0,0,0,0,0,2.903,4.355,1,0,1,0,0,0,0,0,0,0,0,0,2,3
2014-15,Bundesliga,Bayern,Jérôme Boateng,220,DEF,2139,27,92,10,102,0,0,13,2,1,0,22,9.959,61,15,396,9.389,3.871,0.421,4.292,0,0,0.547,0.084,0.042,0,0.926,0.419,2.567,0.631,16.662,3.407,0.37,3.778,0,0,0.481,0.074,0.037,0,0.815,0.369,2.259,0.556,14.667
2014-15,Bundesliga,Bayern,José Reina,1374,GK,192,3,10,1,11,0,0,2,0,1,0,0,1.002,7,1,46,11.833,4.688,0.469,5.156,0,0,0.938,0,0.469,0,0,0.47,3.281,0.469,21.562,3.333,0.333,3.667,0,0,0.667,0,0.333,0,0,0.334,2.333,0.333,15.333
2014-15,Bundesliga,Bayern,Juan Bernat,414,DEF,2556,31,131,4,135,1,0,18,1,0,0,18,8.455,74,15,491,9.5,4.613,0.141,4.754,0.035,0,0.634,0.035,0,0,0.634,0.298,2.606,0.528,17.289,4.226,0.129,4.355,0.032,0,0.581,0.032,0,0,0.581,0.273,2.387,0.484,15.839
2014-15,Bundesliga,Bayern,Manuel Neuer,217,GK,2867,32,138,17,155,0,0,20,1,0,0,0,8.506,72,18,558,8.141,4.332,0.534,4.866,0,0,0.628,0.031,0,0,0,0.267,2.26,0.565,17.517,4.312,0.531,4.844,0,0,0.625,0.031,0,0,0,0.266,2.25,0.562,17.438
2014-15,Bundesliga,Bayern,Mario Götze,422,MID,2248,32,122,14,136,9,2,16,1,0,0,44,7.792,69,18,448,12.719,4.884,0.56,5.445,0.36,0.08,0.641,0.04,0,0,1.762,0.312,2.762,0.721,17.936,3.812,0.438,4.25,0.281,0.062,0.5,0.031,0,0,1.375,0.244,2.156,0.562,14
2014-15,Bundesliga,Bayern,Medhi Benatia,328,DEF,1150,15,58,3,61,1,0,8,4,0,0,3,3.52,35,6,208,12.1,4.539,0.235,4.774,0.078,0,0.626,0.313,0,0,0.235,0.275,2.739,0.47,16.278,3.867,0.2,4.067,0.067,0,0.533,0.267,0,0,0.2,0.235,2.333,0.4,13.867
2014-15,Bundesliga,Bayern,Mitchell Weiser,28,MID,776,13,38,3,41,1,4,3,2,0,0,10,4.233,24,11,159,11.769,4.407,0.348,4.755,0.116,0.464,0.348,0.232,0,0,1.16,0.491,2.784,1.276,18.441,2.923,0.231,3.154,0.077,0.308,0.231,0.154,0,0,0.769,0.326,1.846,0.846,12.231
2014-15,Bundesliga,Bayern,Philipp Lahm,218,MID,1407,20,64,4,68,2,2,12,0,0,0,31,9.888,39,10,287,11.2,4.094,0.256,4.35,0.128,0.128,0.768,0,0,0,1.983,0.632,2.495,0.64,18.358,3.2,0.2,3.4,0.1,0.1,0.6,0,0,0,1.55,0.494,1.95,0.5,14.35
2014-15,Bundesliga,Bayern,Pierre-Emile Højbjerg,343,MID,284,8,10,0,10,0,0,1,1,0,0,0,0.844,20,3,35,19.875,3.169,0,3.169,0,0,0.317,0.317,0,0,0,0.267,6.338,0.951,11.092,1.25,0,1.25,0,0,0.125,0.125,0,0,0,0.106,2.5,0.375,4.375
2014-15,Bundesliga,Bayern,Rafinha,221,DEF,2141,26,118,13,131,0,1,18,4,0,0,34,10.197,68,10,491,7.538,4.96,0.546,5.507,0,0.042,0.757,0.168,0,0,1.429,0.429,2.858,0.42,20.64,4.538,0.5,5.038,0,0.038,0.692,0.154,0,0,1.308,0.392,2.615,0.385,18.885
2014-15,Bundesliga,Bayern,Robert Lewandowski,227,FWD,2493,31,141,21,162,17,5,19,0,0,0,32,4.925,71,15,584,9.419,5.09,0.758,5.848,0.614,0.181,0.686,0,0,0,1.155,0.178,2.563,0.542,21.083,4.548,0.677,5.226,0.548,0.161,0.613,0,0,0,1.032,0.159,2.29,0.484,18.839
2014-15,Bundesliga,Bayern,Sebastian Rode,228,MID,951,22,57,6,63,2,5,5,2,0,0,24,7.126,53,13,254,13.682,5.394,0.568,5.962,0.189,0.473,0.473,0.189,0,0,2.271,0.674,5.016,1.23,24.038,2.591,0.273,2.864,0.091,0.227,0.227,0.091,0,0,1.091,0.324,2.409,0.591,11.545
2014-15,Bundesliga,Bayern,Thiago Alcántara,229,MID,278,7,10,0,10,0,0,1,0,0,0,9,2.301,8,5,59,13.071,3.237,0,3.237,0,0,0.324,0,0,0,2.914,0.745,2.59,1.619,19.101,1.429,0,1.429,0,0,0.143,0,0,0,1.286,0.329,1.143,0.714,8.429
2014-15,Bundesliga,Bayern,Thomas Müller,224,FWD,2382,32,139,20,159,13,10,17,1,0,0,40,6.34,75,16,569,11.156,5.252,0.756,6.008,0.491,0.378,0.642,0.038,0,0,1.511,0.24,2.834,0.605,21.499,4.344,0.625,4.969,0.406,0.312,0.531,0.031,0,0,1.25,0.198,2.344,0.5,17.781
2014-15,Bundesliga,Bayern,Xabi Alonso,230,MID,1977,26,78,3,81,2,3,16,6,0,0,35,11.089,60,13,334,10.942,3.551,0.137,3.687,0.091,0.137,0.728,0.273,0,0,1.593,0.505,2.731,0.592,15.205,3,0.115,3.115,0.077,0.115,0.615,0.231,0,0,1.346,0.426,2.308,0.5,12.846
2014-15,Bundesliga,Bayern,Xherdan Shaqiri,888,FWD,336,9,22,0,22,1,2,2,0,0,0,10,1.231,21,2,89,14.556,5.893,0,5.893,0.268,0.536,0.536,0,0,0,2.679,0.33,5.625,0.536,23.839,2.444,0,2.444,0.111,0.222,0.222,0,0,0,1.111,0.137,2.333,0.222,9.889
2014-15,Bundesliga,Dortmund,Adrián Ramos,324,FWD,707,18,38,5,43,2,2,1,0,0,0,17,1.518,22,28,152,16.444,4.837,0.636,5.474,0.255,0.255,0.127,0,0,0,2.164,0.193,2.801,3.564,19.349,2.111,0.278,2.389,0.111,0.111,0.056,0,0,0,0.944,0.084,1.222,1.556,8.444
2014-15,Bundesliga,Dortmund,Ciro Immobile,1209,FWD,953,24,46,7,53,3,1,1,1,0,0,8,1.257,25,27,171,18.854,4.344,0.661,5.005,0.283,0.094,0.094,0.094,0,0,0.756,0.119,2.361,2.55,16.149,1.917,0.292,2.208,0.125,0.042,0.042,0.042,0,0,0.333,0.052,1.042,1.125,7.125
2014-15,Bundesliga,Dortmund,Erik Durm,2640,DEF,1585,18,49,4,53,1,1,4,2,0,0,11,5.001,25,24,208,13.139,2.782,0.227,3.009,0.057,0.057,0.227,0.114,0,0,0.625,0.284,1.42,1.363,11.811,2.722,0.222,2.944,0.056,0.056,0.222,0.111,0,0,0.611,0.278,1.389,1.333,11.556
